KODE;NAMA;SAT;SAT2;KONVSAT2;SAT3;KONVSAT3;SAT4;KONVSAT4;SAT5;KONVSAT5;SAT6;KONVSAT6;SAT7;KONVSAT7;SAT8;KONVSAT8;SAT9;KONVSAT9;SAT10;KONVSAT10;HARGABELI;HPP;HARGAJUAL1;MINQTY;HARGAJUAL2;MINQTY2;HARGAJUAL3;MINQTY3;
8991102385060;TANGO WAFFLE CHOCO HAZELNUT;PCS;PCS;1;KTK;26;;0;;0;;0;;0;;0;;0;;0;1692;0;2000;0;0;0;0;0;
8991102385336;TANGO WAFFLE;PCS;pcs;1;KTK;2;;0;;0;;0;;0;;0;;0;;0;1769;0;2000;0;0;0;0;0;
8991102387262;tango vanila;pcs;pcs;1;pcs;20;;0;;0;;0;;0;;0;;0;;0;1800;0;2500;0;0;0;0;0;
8991380700029;GARNIER BRIGHT COMPLETE C;PCS;PCS;1;PCS;2;;0;;0;;0;;0;;0;;0;;0;31413;0;35000;0;0;0;0;0;
8991380700036;GARNIER BRIGHT 50 ML;PCS;PCS;1;PCS;2;;0;;0;;0;;0;;0;;0;;0;19980;0;21000;0;0;0;0;0;
8991615183016;rol sejati;pcs;pcs;1;ktk;24;;0;;0;;0;;0;;0;;0;;0;1458;0;4000;0;0;0;0;0;
8991663002062;PENA BIASA STANDANT;PCS;PCS;1;KTK;12;;0;;0;;0;;0;;0;;0;;0;1620;0;2000;0;0;0;0;0;
8991906102016;LA BOLD 16;PCS;PCS;1;SLOP;10;;0;;0;;0;;0;;0;;0;;0;28700;0;30000;0;0;0;0;0;
8991906105758;LA BOLD 20;PCS;PCS;1;SLOP;20;;0;;0;;0;;0;;0;;0;;0;35930;0;37000;0;0;0;0;0;
8991999110042;MILK LIFE;PCS;PCS;1;KRN;40;;0;;0;;0;;0;;0;;0;;0;2675;0;3500;0;0;0;0;0;
8992003782354;ANTANGIN JRG;PCS;PCS;1;PAK;72;;0;;0;;0;;0;;0;;0;;0;3131;0;3500;0;0;0;0;0;
8992003783665;ANTANGIN JUNIOR;PCS;PCS;1;PAK;10;;0;;0;;0;;0;;0;;0;;0;2000;0;12000;0;0;0;0;0;
8992304047169;GARNIER SAKURA50 ML;PCS;PCS;1;PCS;2;;0;;0;;0;;0;;0;;0;;0;19980;0;21000;0;0;0;0;0;
8992304047411;GARNIER MEN TURBO, SPOTS 50ML;PCS;PCS;1;PCS;3;;0;;0;;0;;0;;0;;0;;0;23421;0;25000;0;0;0;0;0;
8992628510158;palmia simas;pcs;pcs;1;KTK;60;;0;;0;;0;;0;;0;;0;;0;6000;0;7500;0;0;0;0;0;
8992696404441;Bear Brand;KLG;KLG;1;ktn;30;;0;;0;;0;;0;;0;;0;;0;8667;0;10500;0;0;0;0;0;
8992696521797;milo ss;rtg;rtg;1;krn;20;;0;;0;;0;;0;;0;;0;;0;17250;0;2000;0;0;0;0;0;
8992696523081;milo uht 110;PCS;pcs;1;ktk;36;;0;;0;;0;;0;;0;;0;;0;2583;0;4000;0;0;0;0;0;
8992696525030;DANCOW SASET COKLAT;PCS;PCS;1;RTG;30;;0;;0;;0;;0;;0;;0;;0;3600;0;4500;0;0;0;0;0;
8992696525054;DANCOW SASET PUTIH;PCS;PCS;1;RTG;21;;0;;0;;0;;0;;0;;0;;0;3600;0;39000;0;0;0;0;0;
8992727000048;laurier isi 8;PCS;pcs;1;pcs;18;;0;;0;;0;;0;;0;;0;;0;3667;0;5000;0;0;0;0;0;
8992727003087;LAURIER;PCS;PCS;1;BKS;11;;0;;0;;0;;0;;0;;0;;0;6000;0;7000;0;0;0;0;0;
8992727008990;ATTACK JAZ 1;RTG;RTG;1;RTG;6;;0;;0;;0;;0;;0;;0;;0;4000;0;5000;0;0;0;0;0;
8992730997106;love glasses 500;pcs;pcs;1;kotak;80;;0;;0;;0;;0;;0;;0;;0;438;0;500;0;0;0;0;0;
8992736101170;SAMBAL ASLI ( ORIGINAL CHILI SAUCE);BKS;BKS;1;KTK;10;;0;;0;;0;;0;;0;;0;;0;17000;0;19000;0;0;0;0;0;
8992741940795;yupi choco glee;pcs;pcs;1;ktk;72;;0;;0;;0;;0;;0;;0;;0;447;0;500;0;0;0;0;0;
